date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:39	13399/13399	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:40%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=948	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic2a7d.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:40	42158/42158	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:41%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=741	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic28dd.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:40	64776/64776	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:40%20GMT	http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=0	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewforumf4a7.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:41	41769/41769	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:41%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=382	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopica12f.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:41	40419/40419	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:41%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=382&start=15	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopiccbbd.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:41	15301/15301	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:42%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=284	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic8c56.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:41	11938/11938	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:43%20GMT	http://www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=736	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/memberlistfdfe.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:42	11939/11939	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:43%20GMT	http://www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=696	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/memberlist0053.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:42	18837/18837	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:43%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=285	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic201e.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:42	11959/11959	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:44%20GMT	http://www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=42	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/memberlistd1d7.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:42	22901/22901	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:44%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=125	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic5b05.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:43	14264/14264	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:44%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=22&start=15	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic9d20.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:43	41643/41643	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:44%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=22	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic67c6.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:44	11971/11971	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:45%20GMT	http://www.ubmc.co.uk/ftr/memberlist.php?mode=viewprofile&u=18	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/memberlist271f.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:44	33579/33579	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:45%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=43	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic7d3b.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:44	13241/13241	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:45%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=80	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopic02cb.html	(from http://www.ubmc.co.uk/ftr/viewforum.php?f=5&start=50)
14:28:56	7964/7964	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2012%20Apr%202019%2013:28:49%20GMT	http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3643&view=next	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/UBMC-5-Git/www.ubmc.co.uk/ftr/viewtopica066.html	(from http://www.ubmc.co.uk/ftr/viewtopic.php?f=5&t=3643)
